sample_name,host_genus,host_species,date,era,subregion,site,latitude,longitude,depth,dominant_clade,A,B,C,D
CR-1,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9998291936516973,1.7080634830261192e-4,0,0
CR-10,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,B,6.732306656568207e-4,0.9330977026003535,0.06622906673398973,0
CR-11,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,1.8584769781164335e-4,0.9920550109185523,0.0019514008270222552,0.005807740556613855
CR-12,Madracis,decactis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,0.015783376773819868,0.9766869388937157,0,0.007529684332464523
CR-13,Madracis,decactis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,B,4.1184041184041183e-4,0.9845559845559846,0,0.015032175032175032
CR-14,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,C,0,0.41854900459418065,0.5814509954058192,0
CR-15,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,52,C,0,0.47692691444250446,0.5230730855574957,0
CR-16,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,51,B,0,1.0000000000000002,0,0
CR-17,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,C,0.011235955056179775,0.024960887498222152,0.7063006684682123,0.25750248897738587
CR-18,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,D,0,7.037651435178203e-4,0.3723922987985724,0.6269039360579098
CR-19,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,1.890144785090538e-4,0.5205080709182325,0,0.4793029146032586
CR-20,Montastraea,cavernosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,51,C,7.371483996120271e-4,7.759456838021338e-4,0.9984869059165861,0
CR-21,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,B,0,1.0000000000000002,0,0
CR-22,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,A,0.9999999999999999,0,0,0
CR-23,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,C,3.6201715961336567e-4,0.07790609274879631,0.8904898092169569,0.031242080874633458
CR-24,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,0,0.9916509676314437,0.008349032368556261,0
CR-25,Siderastrea,siderea,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,B,3.1414709064888827e-4,0.9996858529093506,0,0
CR-26,Porites,porites,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,C,0,3.044757941743631e-4,0.9996955242058255,0
CR-27,Eusmilia,fastigiata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,3.35371359285917e-4,0.9996646286407139,0,0
CR-28,Siderastrea,radians,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,1,0,0,0
CR-29,Siderastrea,radians,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,D,0.0012127949871140534,0,0,0.9987872050128855
CR-3,Diploria,labyrinthiformis,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,52,B,1.4005602240896358e-4,0.9835784313725489,0.0015056022408963584,0.014775910364145656
CR-30,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,0.9994224104736231,5.775895263765884e-4,0,0
CR-31,unknown,unknown,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9997170917027037,2.8290829729620497e-4,0,0
CR-32,Pseudodiploria,strigosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,45,B,0,1.0000000000000002,0,0
CR-33,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,50,A,0.9996697853604842,3.302146395156852e-4,0,0
CR-34,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,51,A,0.9960560911481157,0.003943908851884312,0,0
CR-36,Montastraea,cavernosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,53,C,0,4.580529227299954e-4,0.99954194707727,0
CR-4,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,0.9995630325540747,4.369674459252786e-4,0,0
CR-40,unknown,unknown,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9980776340110904,0.0014417744916820703,4.805914972273567e-4,0
CR-41,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,64,A,0.5260068733830173,0.001969340078001313,0.4720237865389814,0
CR-42,Siderastrea,siderea,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,64,B,3.829656862745098e-4,0.9996170343137253,0,0
CR-43,Montastraea,cavernosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,65,C,0,1.1277135607555681e-4,0.9998872286439243,0
CR-44,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,65,A,0.9997929520891136,2.0704791088657916e-4,0,0
CR-45,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,65,C,6.11545988258317e-4,3.057729941291585e-4,0.99779843444227,0.0012842465753424657
CR-46,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,64,A,0.9993617021276596,6.382978723404255e-4,0,0
CR-47,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,62,A,0.9993404380879647,4.859929878154615e-4,0,1.7356892421980768e-4
CR-48,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,61,A,0.9995017438963627,4.982561036372695e-4,0,0
CR-49,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,64,A,1,0,0,0
CR-5-A,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,A,0.9998297334111695,1.7026658883051177e-4,0,0
CR-5-B,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,B,0,1,0,0
CR-50,Montastraea,cavernosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,64,C,0,0,1,0
CR-51,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,63,D,0,2.549812406658653e-4,0,0.9997450187593342
CR-52,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,57,A,0.9985485131564255,2.6052327961591427e-4,0.0011909635639584652,0
CR-53,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,57,A,0.9997271487039563,2.7285129604365623e-4,0,0
CR-54,Montastraea,cavernosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,C,3.153398503569074e-4,0,0.9996846601496431,0
CR-55,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,C,2.7748487707419944e-4,0.0023586214551306953,0.997363893667795,0
CR-56,Porites,astreoides,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.999064307587615,3.82783259612113e-4,5.529091527730521e-4,0
CR-57,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,B,0,0.7926471722860887,0.20735282771391095,0
CR-58,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,B,0,0.9999999999999999,0,0
CR-59,Siderastrea,radians,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9200142725461627,0.004549374089381821,0.07543635336445545,0
CR-6,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,52,D,0,6.023370678231539e-4,0,0.9993976629321768
CR-60,Siderastrea,siderea,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,B,0.0019163206643244969,0.9980836793356754,0,0
CR-7,Stephanocoenia,intersepta,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,55,A,0.9942791762013728,0.005720823798627003,0,0
CR-8,Orbicella,faveolata,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,54,C,2.817496654222723e-4,4.578432063111925e-4,0.9852433612735085,0.01401704585475805
CR-9,Montastraea,cavernosa,20210702,2020-21,Upper Keys,Conch,24.94844437,-80.46238708,56,C,0,0,1,0
KL-003,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,31.824148,B,0.014417155690791859,0.98159820328914,0.003984641020068101,0
KL-015,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,32.8084,B,0.004062819263940697,0.7738601534842833,0,0.222077027251776
KL-025,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,31.16798,B,0,0.8394116555308093,0.16058834446919087,0
KL-100,Eusmilia,fastigiata,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.509188,B,0,0.9999999999999999,0,0
KL-102,Pseudodiploria,strigosa,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.837272,B,0,0.999699302381525,3.0069761847486165e-4,0
KL-103,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.181104,A,0.9584702242352717,2.8707218270549584e-4,0.0412427035820229,0
KL-104,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,50.85302,C,0.01895031371884009,7.207054434458199e-4,0.9803289808377139,0
KL-105,Orbicella,faveolata,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,50.85302,B,8.69414014953921e-4,0.9991305859850459,0,0
KL-106,Pseudodiploria,strigosa,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.868768,B,0.0013531799729364006,0.9983461133664111,3.0070666065253347e-4,0
KL-107,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.868768,C,0.005694708088337424,0.018287883698319376,0.9760174082133432,0
KL-108,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,50.196852,A,0.9555139520370867,0.005482749398234823,0.03900329856467862,0
KL-110,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,55.118112000000004,B,0.043453237410071933,0.9120863309352517,0.04446043165467625,0
KL-112,Porites,astreoides,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,62.664044,A,0.9796862946772948,0.017485214708151196,0.00282849061455387,0
KL-113,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,62.664044,B,0.0012787723785166241,0.9984370559818131,2.841716396703609e-4,0
KL-115,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,63.648296,C,0.0013939363767610893,0.002041121123114452,0.9965649425001244,0
KL-116,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,57.742784,B,4.899859129050039e-4,0.9958351197403074,0.00367489434678753,0
KL-117,Orbicella,faveolata,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,54.13386,B,0,0.994950854988555,0.001211794802746735,0.0038373502086979936
KL-118,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,53.149608,A,0.94933544689672,3.0484087306426044e-4,0.05035971223021581,0
KL-119,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.509188,B,0.07197608831895096,0.9252277876874128,0.0027961239936364077,0
KL-121,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,51.181104,B,0.027169967852328114,0.9716893083065437,0.0011407238411282796,0
KL-122,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.540684,B,0.001358464934623875,0.9986415350653761,0,0
KL-123,Porites,porites,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.540684,C,0,0.0019751693002257337,0.9980248306997742,0
KL-125,Pseudodiploria,strigosa,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,46.259844,B,0.016717764794354145,0.9829351535836178,3.470816220281136e-4,0
KL-126,Orbicella,faveolata,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,49.868768,B,0,1,0,0
KL-127,Dichocoenia,stokesii,20010622,2001-03,Upper Keys,Conch,24.94844437,-80.46238708,53.477692,B,9.507829977628636e-4,0.9990492170022371,0,0
KL-156,Solenastrea,hyades,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.530184,B,0,1,0,0
KL-158,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,6.56168,B,0.003348789283874292,0.9921432251416794,0.0038639876352395677,6.439979392065945e-4
KL-160,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,6.233596,B,0.005316075349589737,0.9946839246504103,0,0
KL-162,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,6.56168,B,7.26005517641934e-4,0.999273994482358,0,0
KL-163,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,6.233596,B,0.0016687061964623428,0.9910446100789855,0.005117365669151185,0.0021693180554010457
KL-165,Porites,astreoides,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,7.545932,A,0.9990842490842491,9.157509157509158e-4,0,0
KL-168,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,7.874016,B,0.009855453350854141,0.9901445466491459,0,0
KL-169,Stephanocoenia,intersepta,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.2021,B,0.00220029337244966,0.9891985598079746,0.007867715695426056,7.334311241498867e-4
KL-17,Solenastrea,bournoni,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,32.8084,B,0.0099009900990099,0.9838237344861245,0.004253242225631014,0.0020220331892344167
KL-170,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.2021,B,0,0.9992700197094678,7.299802905321556e-4,0
KL-172,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,7.874016,B,0,0.9995977312039904,4.0226879600949357e-4,0
KL-173,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.2021,B,0,0.9999999999999999,0,0
KL-174,Pseudodiploria,strigosa,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8.530184,B,0,0.9997410109207061,2.5898907929382313e-4,0
KL-177,Orbicella,faveolata,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,7.874016,B,2.752924982794219e-4,0.9997247075017205,0,0
KL-178,Diploria,labyrinthiformis,20010622,2001-03,Upper Keys,Triangles,25.00873947,-80.44978333,8,B,0,1,0,0
KL-232,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.826772,D,0.0032037888285276505,0.00919348098620978,0,0.9876027301852626
KL-233,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,8.2021,D,3.6874855957593915e-4,7.835906890988707e-4,0.0028578013367135282,0.9959898594146116
KL-234,Porites,astreoides,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,9.514436,A,1,0,0,0
KL-237,Stephanocoenia,intersepta,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.154856,B,4.351610095735422e-4,0.9380620829706992,0.0021032782129387874,0.05939947780678852
KL-240,Siderastrea,radians,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.811024,B,0.0013035685188202706,0.7760795176796479,5.54016620498615e-4,0.22206289718103311
KL-241,Solenastrea,bournoni,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.48294,B,0.3425719769673704,0.6517466410748561,0.0036852207293666026,0.00199616122840691
KL-242,Solenastrea,bournoni,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,12.139108,B,0.0037405941455352087,0.9899960854247316,0.004784480883824105,0.0014788395459092688
KL-244,Diploria,labyrinthiformis,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,12.139108,B,0.2025174476570289,0.7968594217347956,4.154204054503157e-4,2.0771020272515787e-4
KL-245,Colpophyllia,natans,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.170604,D,6.748397255651782e-4,0.018839275672027898,5.623664379709819e-4,0.9799235181644359
KL-247,Siderastrea,radians,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,12.139108,B,0.23216327966921793,0.7623823348288905,0.0028151667106536466,0.0026392187912377936
KL-248,Colpophyllia,natans,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.811024,B,0.0072250468290072254,0.5003121933815003,0,0.49246275978949244
KL-249,Solenastrea,bournoni,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.826772,A,0.822873553509587,0.16530112340569303,0.004307796266576569,0.007517526818143425
KL-250,Diploria,labyrinthiformis,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.826772,A,0.5338266812244734,0.4654858667960693,6.874519794573173e-4,0
KL-252,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.154856,D,0.0159223044397463,0.05219344608879489,0.0032373150105708243,0.9286469344608881
KL-253,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,10.826772,D,0.001541782300339192,0.010021584952204747,0,0.9884366327474561
KL-254,Orbicella,faveolata,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.48294,B,0.0632992327365729,0.9085677749360614,0,0.028132992327365727
KL-255,Siderastrea,radians,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.811024,B,0.34657534246575344,0.6424657534246573,0,0.010958904109589041
KL-257,Porites,astreoides,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,11.811024,C,0.019506121601992117,0.26271010583108523,0.7177837725669227,0
KL-258,Cladocora,arbuscula,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,8.858268,B,0.04450959488272921,0.9448294243070362,0.010660980810234541,0
KL-260,Cladocora,arbuscula,20010623,2001-03,Upper Keys,Tavernier Rocks,24.93535233,-80.54960632,12.139108,B,0.0011492051331162612,0.9848687990806358,0.0013407393219689715,0.012641256464278874
KL-27,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,31.16798,B,8.498417536045012e-4,0.9241003399367014,0.07504981830969404,0
KL-29,Diploria,labyrinthiformis,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,32.152232,B,5.148977069888783e-4,0.9573664698613208,0.04211863243169025,0
KL-33,Pseudodiploria,strigosa,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,32.480316,B,0,0.9781703235403497,0.021829676459650425,0
KL-339,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,12,B,0,0.9999999999999999,0,0
KL-342,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.004359756097560976,0.6332926829268289,0,0.36234756097560966
KL-343,Diploria,labyrinthiformis,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.0010932322093539682,0.6647876738068397,0,0.3341190939838065
KL-344,Porites,astreoides,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,A,0.9996779258424253,3.220741575747816e-4,0,0
KL-348,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.07029080812509135,0.9052316235569194,0.02192021043402017,0.00255735788396902
KL-349,Stephanocoenia,intersepta,20020926,2001-03,Upper Keys,Cheeca,24.90399933,-80.61685944,11,B,0.34810031536266706,0.6083496020423488,0.027331431145817688,0.016218651449166538
KL-35,Colpophyllia,natans,20010621,2001-03,Upper Keys,Little Grecian,25.11901093,-80.30082703,30.839896,B,0,0.9992572944297083,7.427055702917772e-4,0
