Site,Latitude,Longitude
W2030,26.324877999999998,-80.066419
Y1263,25.083481,-80.372711
Y1265,25.068453,-80.371127
Y1258,25.135631,-80.316878
Y2011,27.105068,-80.124087
Y2010,27.109763,-80.133584
Y2008,27.113233,-80.12723
Y2007,27.120036,-80.135139
Y1006,27.1106,-80.124439
Y2006,27.129984,-80.135196
Y1262,25.111057,-80.340493
Y2005,27.13357,-80.134459
Y1004,27.144873,-80.1374
Y1003,27.148602,-80.1396
Y2004,27.13446,-80.132434
Y2003,27.136435,-80.139829
Y2002,27.151198,-80.13836
Y1277,25.016002,-80.37342
Y1281,25.008738,-80.378629
Y1278,25.013818,-80.372618
Y1005,27.12553,-80.133093
Y3000,24.48034,-81.71322
Y1389,24.50935,-81.721066
Y1393,24.502674,-81.672853
Y1391,24.509197,-81.665831
Y1382,24.522596,-81.649312
Y1390,24.50932,-81.71858
Y1376,24.536583,-81.615829
Y1380,24.52749,-81.630593
Y2012,27.030213,-80.065694
Y1377,24.531634,-81.611362
Y1012,27.012623,-80.067855
Y2013,27.010372,-80.068882
Y1013,27.008112,-80.068396
Y1370,24.548307,-81.583543
Y1400,24.481956,-81.739062
Y1388,24.509459,-81.724273
Y1392,24.506675,-81.739556
Y1395,24.496586,-81.732703
Y1407,24.478548,-81.727382
Y1363,24.555886,-81.360155
Y1352,24.573832,-81.320789
Y1345,24.59544,-81.212753
Y1335,24.631599,-81.239459
Y1344,24.59954,-81.21639
Y1381,24.523305,-81.646156
Y1364,24.555795,-81.561932
Y1357,24.563889,-81.551934
Y1379,24.531115,-81.48546
Y1372,24.547907,-81.532872
Y1375,24.539015,-81.57583
Y1397,24.487009,-81.837751
Y1401,24.48189,-81.817371
Y1403,24.480873,-81.776784
Y1417,24.468747,-81.863873
Y1396,24.488597,-81.8855
Y1421,24.462467,-81.853037
Y1419,24.46493,-81.876164
Y1411,24.473902,-81.913396
Y1404,24.480528,-81.89828
Y1408,24.477975,-81.898473
Y1409,24.476177,-81.894269
Y1413,24.473451,-81.881378
Y1337,24.630866,-81.236125
Y2371,24.51489,-81.683338
Y1369,24.550643,-81.704762
Y1368,24.550964,-81.703015
Y1366,24.554331,-81.683661
Y1354,24.569302,-81.652483
Y1359,24.55972,-81.66851
Y1367,24.552507,-81.69243
Y1365,24.555466,-81.680155
Y1373,24.547201,-81.573434
Y1399,24.482481,-81.705192
Y1405,24.479391,-81.889289
Y1383,24.521181,-81.662215
Y1371,24.54814,-81.579868
Y1374,24.542955,-81.603175
Y3002,25.02018,-80.4403
Y3003,25.01005,-80.45784
Y2028,26.673288,-80.018876
Y1029,26.692013,-80.018273
Y2027,26.680962,-80.018589
Y1032,26.626696,-80.022913
Y2029,26.618243,-80.022862
Y1014,26.996457,-80.066185
Y1015,26.993748,-80.063346
Y2014,26.990482,-80.064511
Y2015,26.987401,-80.06513
Y1016,26.960586,-80.053543
Y1248,25.214018,-80.284719
Y1243,25.222442,-80.28016
Y1246,25.216437,-80.287412
Y1237,25.241554,-80.265153
Y1239,25.237566,-80.267198
Y1171,25.618678,-80.122327
Y1172,25.59683,-80.103989
Y1236,25.246207,-80.19764
Y1387,24.510624,-81.583259
Y2324,24.611443,-81.16576
Y2325,24.610008,-81.175952
Y1339,24.625667,-81.110534
Y3016,25.005284,-80.392652
Y1336,24.631124,-81.093252
Y2365,24.520296,-81.595168
Y3026,24.63947,-81.06688
Y2193,25.40225,-80.12931
Y2216,25.296218,-80.169908
Y3030,24.63296,-81.08892
Y3035,24.555505,-81.372444
Y1211,25.398184,-80.128842
Y1338,24.626027,-81.108078
Y1394,24.502281,-81.615878
Y3017,25.013813,-80.40514
Y3018,25.001451,-80.395158
Y3039,24.600794,-82.948251
Y3022,25.141752,-80.259024
Y3037,24.600507,-82.946378
Y2368,24.517894,-81.610793
Y3020,25.133317,-80.264046
Y3019,25.16198,-80.261626
Y3024,25.13642,-80.28953
Y3027,24.666441,-81.072513
Y3033,24.54669244,-81.40159193
Y3034,24.5464,-81.40365
Y3031,24.56251,-81.40542
Y3036,24.6811,-82.891
Y1203,25.434709,-80.121121
Y3021,25.153965,-80.267819
Y3023,25.139684,-80.294095
Y3014,25.42476,-80.12395
Y1242,25.223225,-80.235072
Y1245,25.216457,-80.2394
Y2231,25.19178,-80.239529
Y1250,25.210477,-80.241923
Y1251,25.184299,-80.245882
Y1240,25.229641,-80.234114
Y1233,25.27223,-80.202487
Y1235,25.253249,-80.210376
Y1238,25.240287,-80.236689
Y1349,24.586609,-81.581264
Y2350,24.550486,-81.567166
Y1019,26.774863,-80.020016
Y1018,26.777038,-80.020804
Y1358,24.563149,-81.657418
Y1355,24.566721,-81.659293
Y1378,24.531295,-81.607998
Y2331,24.591843,-81.222371
Y2327,24.59958,-81.194845
Y3041,26.76128,-80.02119
Y3040,26.76317,-80.02179
Y1340,24.625001,-81.231658
Y1342,24.609728,-81.219219
Y1360,24.55908,-81.41368
Y1253,25.165086,-80.274428
Y1252,25.183156,-80.251298
Y2236,25.145248,-80.256528
Y1234,25.268842,-80.244713
Y1254,25.16316,-80.260284
Y1247,25.215874,-80.277443
Y1362,24.556831,-81.671523
Y1046,26.245205,-80.066552
Y1432,24.671565,-82.904731
Y3032,24.60958,-81.1554
Y3028,24.63498,-81.080022
Y2378,24.511502,-81.562898
Y1385,24.511425,-81.567281
Y1481,24.632472,-82.857586
Y2440,24.601257,-82.97169
Y2465,24.601973,-82.984529
Y1447,24.596808,-82.956432
Y1429,24.577022,-82.942675
Y1484,24.623421,-82.860426
Y2463,24.616076,-82.868678
Y2458,24.678248,-82.812986
Y1454,24.702022,-82.838608
Y2425,24.69242,-82.903646
Y1430,24.708719,-82.852406
Y1441,24.700342,-82.917898
Y1406,24.478853,-81.957971
Y1410,24.476077,-81.952584
Y2431,24.637815,-82.900644
Y2432,24.632545,-82.905125
Y1474,24.623056,-82.899713
Y3038,24.602393,-82.948687
Y1423,24.446781,-81.987152
Y1476,24.701692,-82.811636
Y1431,24.712057,-82.88398
Y1438,24.679424,-82.894358
Y1414,24.4735,-81.94992
Y1424,24.446569,-81.948382
Y2376,24.51321,-81.95249
Y1152,25.82188333,-80.09733333
Y1162,25.77588333,-80.09768333
Y1386,24.511268,-81.967169
Y1259,25.122498,-80.297262
Y1155,25.80346667,-80.10643333
Y1256,25.1397,-80.284461
Y1153,25.81026667,-80.10936667
Y1260,25.122149,-80.283636
Y1257,25.138865,-80.260579
Y1384,24.518368,-81.99986
Y2437,24.631256,-82.842513
Y1216,25.358331,-80.189536
Y1264,25.077773,-80.335431
Y1261,25.113737,-80.30201
Y1266,25.057875,-80.327063
Y1272,25.034041,-80.349
Y1353,24.573109,-81.597111
Y3048,24.845491,-80.623925
Y1290,24.956768,-80.543987
Y1289,24.956928,-80.535959
Y1294,24.948398,-80.547657
Y1219,25.343443,-80.190463
Y2223,25.230899,-80.2655
Y1244,25.216861,-80.264633
Y1221,25.331346,-80.180972
Y1222,25.330564,-80.178783
Y1215,25.362722,-80.164378
Y3042,25.01011,-80.37548
Y1274,25.030522,-80.355735
Y1271,25.039763,-80.370018
Y3056,26.7130278,-80.0051666
Y2024,26.698508,-80.017711
Y1026,26.719333,-80.018984
Y2022,26.716652,-80.019116
Y3049,24.895397,-80.572374
Y3050,24.878513,-80.570256
Y3051,24.888295,-80.548795
Y3052,24.9818202,-80.4216366
Y3057,24.8323,-80.64075
Y1275,25.017406,-80.365441
Y1276,25.017161,-80.372315
Y3043,25.05228,-80.3353
Y2407,24.436313,-81.965538
Y2433,24.615367,-82.926475
Y1150,25.83146667,-80.11068333
Y3058,25.8507,-80.0922
Y3010,25.037273,-80.415602
Y3011,25.02163,-80.39648
Y1296,24.939607,-80.54889
Y1295,24.946467,-80.468819
Y1293,24.95051,-80.462858
Y3001,25.13428699,-80.32954803
Y3009,24.98733,-80.46446
Y1453,24.638382,-82.86071
Y1472,24.627498,-82.877838
Y2457,24.65542,-82.93598
Y2413,24.610736,-82.970349
Y1426,24.721847,-82.82235
Y1465,24.590957,-82.954446
Y2464,24.664191,-82.775397
Y1468,24.657817,-82.812324
Y1460,24.665181,-82.783671
Y2411,24.676823,-82.92149
Y3025,25.128966,-80.294322
Y1226,25.319084,-80.20752
Y1230,25.296764,-80.22387
Y1048,26.232194,-80.07917
Y1054,26.216862,-80.081794
Y1068,26.160065,-80.095245
Y1229,25.307327,-80.216917
Y1228,25.30937,-80.20139
Y1225,25.319322,-80.216824
Y1223,25.327143,-80.18052
Y1069,26.159809,-80.091879
Y1220,25.340884,-80.191347
Y3007,24.63182,-81.09141
Y3008,24.63991,-81.0667
Y1070,26.156776,-80.090793
Y3004,24.9354,-80.5495
Y3006,25.07793,-80.37773
Y1427,24.574269,-82.925526
Y1458,24.560794,-82.922673
Y1475,24.61599,-82.948211
Y1437,24.70216,-82.916937
Y1448,24.718957,-82.873705
Y1455,24.704028,-82.841622
Y1467,24.709355,-82.823281
Y1446,24.723774,-82.792551
Y2453,24.634586,-82.81449
Y1436,24.707412,-82.802784
Y2421,24.70027,-82.777069
Y1473,24.586051,-82.893884
Y2450,24.657628,-82.849968
Y1210,25.400336,-80.169476
Y1089,26.049997,-80.109086
Y1093,26.031808,-80.088236
Y1212,25.394331,-80.165155
Y1083,26.086495,-80.097812
Y1084,26.082392,-80.103897
Y1214,25.371794,-80.151731
Y1207,25.40849,-80.166132
Y1209,25.403807,-80.164096
Y1085,26.07361,-80.108866
Y1082,26.086864,-80.08481
Y1091,26.042677,-80.093649
Y1159,25.78191667,-80.12105
Y1160,25.78055,-80.12113333
Y1205,25.424007,-80.144039
Y3059,24.95625,-80.45735
Y3053,24.92233333,-80.5055
Y3054,24.914017,-80.515217
Y3055,24.985194,-80.417019
Y1088,26.050383,-80.098588
Y1087,26.061245,-80.103003
Y1090,26.044072,-80.100135
Y1092,26.038677,-80.103675
Y1224,25.319354,-80.183878000000007
Y1227,25.311995,-80.217876
Y2245,25.07871,-80.376656
Y1471,24.595067,-82.974873
Y1483,24.601502,-82.986003
Y2238,25.134125,-80.329724
Y2447,24.640337,-82.852
Y2409,24.705563,-82.863188
Y1178,25.531118,-80.133944
Y1110,25.977708,-80.100142
Y2434,24.640204,-82.829801
Y1197,25.449535,-80.124275
Y1199,25.444984,-80.139729
Y1198,25.446339,-80.150176
Y1201,25.437119,-80.146960000000007
Y1200,25.439179,-80.137201
Y2418,24.592877,-82.873835
Y1208,25.407249,-80.157827
Y1470,24.639477,-82.814986
Y1109,25.980912,-80.10711
Y1112,25.976824,-80.103145
Y1435,24.59275,-82.881084
Y1111,25.97768,-80.095647
Y1113,25.972567,-80.100001
Y2202,25.349009,-80.189109
Y1118,25.964663,-80.107732
Y1196,25.45223,-80.184151
Y1193,25.4576,-80.153125
YMQ23-48,24.44585,-82.01021
YMQ23-63,24.44447,-81.95454
YMQ23-6,24.45453,-81.98585
YMQ23-7,24.47822,-82.01743
Y1194,25.456554,-80.147945000000007
Y1195,25.452344,-80.147416
YMQ23-4,24.45835,-82.57834
YMQ23-3,24.43734,-82.61688
Y1063,26.173967,-80.080629
YMQ23-14,24.52911,-82.5707
YMQ23-35,24.47056,-82.59806
YMQ23-23,24.44089,-82.37413
YMQ23-11,24.432,-82.44391
YMQ23-26,24.45348,-82.29401
YMQ23-42,24.45498,-82.17336
YMQ23-31,24.47666,-82.09169
YMQ23-16,24.50506,-82.30143
Y2426,24.676095,-82.820925
Y2461,24.665106,-82.855909
YMQ23-44,24.47484,-82.16978
YMQ23-46,24.4512,-82.08747
YMQ23-47,24.48009,-82.1511
Y2149,25.77903333,-80.11291667
Y2030,26.608771,-80.023947
Y2318,24.62715,-81.22955
Y2319,24.625007,-81.235465
Y2374,24.51403,-81.9253
Y1075,26.127957,-80.086491
Y1064,26.172616,-80.08114
Y2410,24.65643,-82.85453
Y1081,26.091955,-80.104769
Y1074,26.131117,-80.086466
Y1077,26.117132,-80.088075
Y1078,26.115781,-80.088586
YMQ23-56,24.48299,-81.95882
YMQ23-52,24.45181,-81.95287
Y1027,26.70451,-80.029666
Y2456,24.681202,-82.786186
Y1330,24.682085,-80.972933
Y1433,24.589028,-82.903362
Y1456,24.678157,-82.917128
Y2273,24.95128,-80.53481
YMQ23-49,24.4633,-81.98397
YMQ23-55,24.47476,-82.08118
YMQ23-9,24.42501,-82.46384
YMQ23-20,24.42868,-82.54236
Y1002,27.158906000000002,-80.143852
YMQ23-2,24.50271,-82.31048
YMQ23-34,24.46124,-82.26455
YMQ23-29,24.44308,-82.34591
YMQ23-61,24.44821,-82.56074
YMQ23-19,24.45658,-82.58872
YMQ23-13,24.52776,-82.57036
YMQ23-12,24.44746,-82.61051
YMQ23-66,24.44964,-82.36244
YMQ23-37,24.43262,-82.43807
Y1095,26.030545,-80.102737
Y1096,26.021971,-80.103302
Y3046,24.60617,-82.97795
Y1341,24.618917,-81.380663
Y1131,25.925424,-80.114019
Y1346,24.594174,-81.375106
YMQ23-70,24.45597,-82.56596
YMQ23-8,24.43289,-82.46977
Y1343,24.608305,-81.36344
Y1347,24.592633,-81.398366
Y1439,24.653793,-82.922125
YMQ23-18,24.49991,-82.31919
YMQ23-51,24.45606,-82.1902
YMQ23-22,24.45295,-82.1421
Y1348,24.588825,-81.390244
Y1457,24.597424,-82.958787
YMQ23-41,24.45886,-82.20629
YMQ23-30,24.4793,-82.11885
YMQ23-43,24.45097,-82.09677
YMQ23-58,24.45176,-82.59228
YMQ23-54,24.44609,-82.41616
YMQ23-45,24.45855,-82.2276
YMQ23-32,24.46532,-82.20272
YMQ23-24,24.45439,-82.14775
YMQ23-39,24.45255,-82.12327
Y1300,24.896738,-80.616409
Y1303,24.864652,-80.584491
Y1306,24.836692,-80.646053
Y1477,24.611013,-82.95616
Y3045,24.61933,-82.91955
Y1463,24.58891,-82.94815
Y1459,24.630208,-82.859571
Y1478,24.610396,-82.926892
Y1445,24.718555,-82.833175
Y1434,24.713756,-82.892406
Y2446,24.669911,-82.820914
Y3062,26.714749,-80.017176
Y1103,25.999832,-80.100473
Y1086,26.065246,-80.092976
Y1461,24.634636,-82.826102
Y1098,26.01476,-80.105356
Y1097,26.016083,-80.100349
Y1316,24.733652,-80.811124
Y1351,24.576451,-81.451589
Y1102,26.008411,-80.099176
Y1314,24.747641,-80.76538
Y1100,26.009706,-80.09756
Y1466,24.652031,-82.907814
Y3063,26.704926,-80.016529
Y3064,26.69834,-80.01701
Y1450,24.60476,-82.94535
Y1480,24.593823,-82.916765
Y1452,24.630655,-82.931154
Y3061,26.49015,-80.03772
Y2417,24.708125,-82.873543
Y1041,26.505915,-80.033849
Y3047,24.72435,-82.81239
Y1125,25.946633,-80.112363
Y1030,26.65525,-80.022318
Y1044,26.399953,-80.052278
Y1031,26.642527,-80.020909
Y1151,25.82473333,-80.10771667
Y1469,24.703947,-82.823296
Y1443,24.696109,-82.931174
Y1485,24.708684,-82.791587
Y1034,26.590529,-80.025174
Y1116,25.967328,-80.10072
Y1115,25.968186,-80.096615
Y1126,25.942034,-80.10366
Y1120,25.956994,-80.108789
Y2097,25.927695,-80.114722
Y1129,25.934821,-80.100468
Y1033,26.600522,-80.024579
Y1035,26.584858,-80.025656
YMQ23-72,24.45042,-81.98044
Y1040,26.508617,-80.032823
YMQ23-15,24.47985,-82.04082
YMQ23-1,24.43749,-82.61717
Y1332,24.661016,-81.107562
Y1317,24.721479,-80.925801
Y1144,25.85751667,-80.08813333
Y1154,25.80756667,-80.10993333
Y1325,24.694307,-81.040172
Y1149,25.83413333,-80.09221667
Y1164,25.77133333,-80.09023333
Y1156,25.79581667,-80.10053333
Y2452,24.598935,-82.974668
Y1065,26.171347,-80.094658
Y1058,26.200185,-80.085928
Y1071,26.148303,-80.091334
Y1059,26.192501,-80.084487
Y1062,26.181231,-80.087076
Y1163,25.77318333,-80.08921667
Y1167,25.67905,-80.0962
Y1428,24.646938,-82.856799
Y1169,25.64298333,-80.10015
Y1158,25.78545,-80.10808333
Y1161,25.77661667,-80.09343333
Y1168,25.67028333,-80.09963333
Y1157,25.78765,-80.11608333
Y1326,24.693304,-81.020787
Y1165,25.73626667,-80.11488333
Y1148,25.84758333,-80.09563333
Y1147,25.85136667,-80.10705667
Y1143,25.86625,-80.10946667
Y1146,25.85316667,-80.10508333
Y1141,25.87621667,-80.1078
Y1145,25.85728333,-80.10903333
Y1166,25.68875,-80.0966
Y1127,25.939799,-80.102427
Y1139,25.89083333,-80.09918333
Y1130,25.926757,-80.110514
Y1462,24.586526,-82.957628
Y1137,25.91001667,-80.10336667
Y1136,25.91048333,-80.10766667
Y1140,25.88973333,-80.10783333
Y1449,24.587022,-82.919129
Y2448,24.659733,-82.814892
Y2436,24.670453,-82.909123
YMQ23-38,24.43826,-82.41137
YMQ23-10,24.41917,-82.47943
Y2428,24.603804,-82.948022
Y3005,24.99308,-80.46524
Y1269,25.044604,-80.406069
Y1442,24.567552,-82.923769
Y1128,25.939719,-80.089446
Y1121,25.955998,-80.093815
Y1123,25.953816,-80.105817
YMQ23-28,24.45922,-82.25597
YMQ23-57,24.50277,-82.29808
Y1191,25.463196,-80.128375
Y1192,25.462411,-80.14586
Y1187,25.478133,-80.148519
Y1190,25.465032,-80.155994
Y1188,25.476893,-80.141032
Y1184,25.488817,-80.109287
Y1117,25.967297,-80.095726
Y1185,25.486373,-80.151561
Y1183,25.501192,-80.13953
Y1181,25.514452,-80.124331
Y1204,25.424906,-80.143068
Y1206,25.409023,-80.163758
Y1202,25.436577,-80.13155
Y1482,24.624188,-82.834759
Y1042,26.497742,-80.03687
Y1451,24.611745,-82.962521
Y1043,26.425216,-80.049564
Y1124,25.953738,-80.093333
Y1122,25.955133,-80.099814
Y1328,24.688638,-81.03623
YMQ23-27,24.45817,-82.16579
YMQ23-73,24.47318,-82.02544
YMQ23-36,24.47469,-82.15716
Y1073,26.136559,-80.090425
Y1076,26.120339,-80.095551
Y1135,25.918606,-80.106582
Y1133,25.920891,-80.111058
Y1321,24.713215,-80.972845
YMQ23-33,24.46832,-82.04002
YMQ23-40,24.47601,-82.20581
Y2454,24.609187,-82.873842
Y1282,25.007207,-80.429811
Y2442,24.700188,-82.832412
Y1479,24.67028,-82.892027
Y1273,25.031783,-80.382071
Y1292,24.950852,-80.554364
Y1291,24.953482,-80.548103
Y1297,24.938758,-80.491385
Y1301,24.896626,-80.544725
Y1299,24.903587,-80.550152
Y1302,24.887316,-80.562716
Y1311,24.774405,-80.740565
Y1310,24.778596,-80.735328
Y1305,24.836788,-80.726193
Y1108,25.982198,-80.096112
Y1119,25.959267,-80.111269
Y1107,25.985908,-80.112068
Y2322,24.61494,-81.393075
Y1134,25.919512,-80.107074
Y1132,25.921767,-80.106558
Y1105,25.991671,-80.09504
Y1106,25.986811,-80.112061
Y1039,26.523441,-80.033158
Y1036,26.57132,-80.026273
Y1327,24.68991,-81.029962
Y1333,24.652135,-81.025861
Y1315,24.73763,-80.899276
Y2313,24.664491,-81.075356
Y1329,24.684363,-81.047441
Y1331,24.667395,-81.066333
Y1319,24.717523,-80.960544
Y2304,24.710477,-80.948574
Y1309,24.782964,-80.763168
Y1313,24.752791,-80.761496
Y1312,24.757816,-80.78495
Y1298,24.934365,-80.549707
Y3066,24.576967,-81.44595
YMQ23-17,24.50456,-82.30259
YMQ23-25,24.44789,-82.31287
Y1170,25.626889,-80.095815
Y1173,25.588505,-80.094611
Y1174,25.571904,-80.126665
Y1175,25.567169,-80.101055
Y1176,25.538786,-80.11313
Y1177,25.535915,-80.113358
Y1286,24.983502,-80.439604
Y1179,25.528559,-80.135601
Y3068,25.46725,-80.14086
Y3067,25.48289,-80.14961
Y1284,24.994568,-80.442228
Y1285,24.990705,-80.465161
Y1268,25.045068,-80.394583
Y1213,25.376635,-80.172316
Y1270,25.042031,-80.391426
Y1283,24.997085,-80.439723
Y1287,24.969866,-80.446428
Y1288,24.957659,-80.534437
